State,Supply Quantity,Supply Price,Demand Quantity,Demand Price
Outbreak,0.06,0.97,0.13,0.97
Natural Disaster,0.09,0.98,0.1,0.97
Infrastructure Failure,0.12,0.1,0.12,0.1
Famine,0.15,0.97,0.15,0.97
Bust,0.15,0.99,0.15,0.99
Boom,0.18,1.11,0.14,1.1
Public Holiday,0.49,1.22,1.17,1.2
Pirate Attack,0.8,1.01,1.07,1
Civil Unrest,0.8,1.02,1.07,1
Investment,0.9,1.01,2.09,1
Election,0.97,1,1,1
Drought,0.98,1,1,1
Terrorism,1,1,1,1
Expansion,1,1.02,2.33,1
Blight,1,1,0.15,0.97
Civil Liberty,1.39,1,1.46,1
